CNTR_ID,TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011,TOT_P_2021
NO,8150,8282,CRS3035RES50000mN4000000E4200000,8205,8043
PT,33132,37193,CRS3035RES50000mN1850000E2750000,35795,32121
ES,57022,58936,CRS3035RES50000mN1100000E1600000,58487,58268
FR,21913,19141,CRS3035RES50000mN2150000E4200000,21313,23008
EL,5727,6138,CRS3035RES50000mN1850000E5500000,6109,6337
SE,71179,64380,CRS3035RES50000mN3950000E4700000,66657,77367
HR,277690,0,CRS3035RES50000mN2250000E4800000,278625,259367
IE,30771,29091,CRS3035RES50000mN3600000E3050000,31214,31773
FR,101799,102879,CRS3035RES50000mN2600000E3750000,104317,97123
BE-FR,223351,201662,CRS3035RES50000mN3000000E3950000,215118,225888
IT,370292,327349,CRS3035RES50000mN1550000E4700000,364710,354055
BG,72528,84154,CRS3035RES50000mN2250000E5450000,77989,70215
PL,301396,294485,CRS3035RES50000mN3450000E5000000,298474,284254
CZ-DE,124439,120036,CRS3035RES50000mN2900000E4550000,123248,120771
NO,494,597,CRS3035RES50000mN5150000E4850000,569,471
FR,513247,467946,CRS3035RES50000mN2300000E3850000,485227,521778
FI,661,866,CRS3035RES50000mN5000000E5100000,779,653
IE,356679,315683,CRS3035RES50000mN3350000E3050000,338833,378808
FI-SE,1809,2028,CRS3035RES50000mN5000000E4850000,1949,1788
EL,121434,119000,CRS3035RES50000mN1950000E5350000,120974,115863
UK,133650,130171,CRS3035RES50000mN3100000E3400000,132969,0
RO,139732,143509,CRS3035RES50000mN2650000E5450000,136399,128404
FI,40568,36241,CRS3035RES50000mN4150000E5100000,38816,40709
FI,164827,143956,CRS3035RES50000mN4300000E5000000,156158,169694
BG,169330,200323,CRS3035RES50000mN2350000E5550000,178430,146347
FI,112161,95173,CRS3035RES50000mN4700000E5000000,103159,114669
IS,894,160,CRS3035RES50000mN4950000E2850000,17,0
NO,10195,9651,CRS3035RES50000mN4900000E4550000,9860,10674
SE,322,176,CRS3035RES50000mN4950000E4700000,278,305
AT-SI,194708,192606,CRS3035RES50000mN2600000E4700000,194903,196087
ES,4623,6517,CRS3035RES50000mN2000000E3300000,5528,4719
RO,117173,137643,CRS3035RES50000mN2800000E5350000,127976,120003
PL,160401,155468,CRS3035RES50000mN3300000E4800000,159330,151798
EL,30719,23838,CRS3035RES50000mN1650000E5450000,30383,28174
EL,5794,5575,CRS3035RES50000mN1600000E5600000,5855,5890
BA-HR-RS,190954,0,CRS3035RES50000mN2450000E5000000,212705,46928
ES,362182,349441,CRS3035RES50000mN1600000E2850000,366161,364642
PL,208451,215702,CRS3035RES50000mN3150000E5100000,216415,188047
BG,274290,274642,CRS3035RES50000mN2300000E5700000,287233,256507
UK,3558,3347,CRS3035RES50000mN3400000E3300000,3544,0
ES,125369,135326,CRS3035RES50000mN2300000E2950000,134386,121361
FI,28459,31235,CRS3035RES50000mN4400000E4900000,30159,27984
IT,173295,182835,CRS3035RES50000mN1600000E4700000,179586,163248
ES,13634,15252,CRS3035RES50000mN1900000E3000000,15012,13293
LV,61866,78803,CRS3035RES50000mN3800000E5350000,71015,59246
FR,19626,15797,CRS3035RES50000mN2200000E3750000,17118,19561
ES,222067,162932,CRS3035RES50000mN2050000E3150000,189599,224614
CH-FR,145682,123798,CRS3035RES50000mN2600000E4000000,134957,148369
SE,48073,47284,CRS3035RES50000mN3900000E4550000,46686,48303
NO,55714,49522,CRS3035RES50000mN4050000E4050000,52792,68145
EL,790,131,CRS3035RES50000mN1900000E5500000,201,71
ES,51406,49382,CRS3035RES50000mN2300000E3200000,54111,50885
FI-NO,3640,3535,CRS3035RES50000mN5300000E5000000,3487,3625
BA-HR,38594,0,CRS3035RES50000mN2300000E4800000,46763,37996
SE,7422,7827,CRS3035RES50000mN4200000E4650000,7522,7389
AT-HU,237193,234679,CRS3035RES50000mN2700000E4800000,236061,240767
BE-DE,944975,962010,CRS3035RES50000mN3050000E4050000,920601,964179
NO,29945,26911,CRS3035RES50000mN4300000E4100000,28309,32025
ES,109462,84147,CRS3035RES50000mN1800000E3550000,99818,117484
PT,76085,82376,CRS3035RES50000mN1900000E2750000,82921,77124
RO,178261,204419,CRS3035RES50000mN2600000E5600000,194900,181334
DE,482,621,CRS3035RES50000mN3500000E4550000,473,457
ES,114676,109951,CRS3035RES50000mN1950000E2900000,115250,113919
DE,416456,376868,CRS3035RES50000mN2800000E4450000,383242,429011
IE,8698,8487,CRS3035RES50000mN3300000E2950000,8775,9287
PL,231219,228751,CRS3035RES50000mN3400000E4900000,233825,213251
IE,14077,13568,CRS3035RES50000mN3700000E3200000,14649,14929
ES,29074,31783,CRS3035RES50000mN1800000E2900000,31026,28174
IE,139670,113975,CRS3035RES50000mN3450000E3150000,134190,151042
EL,115352,116223,CRS3035RES50000mN1700000E5450000,111812,100828
UK,1613,1550,CRS3035RES50000mN4000000E3300000,1700,0
