x,y,pop
5330,1795,207
5220,4110,211
3730,2425,361
5390,2285,2136
3675,2670,3767
3965,2290,4038
4845,5160,0
4850,4630,120
5095,3085,1485
4610,2755,63
5170,2935,2398
4900,2485,7366
5460,2665,860
4975,2495,1070
2765,2255,13739
4725,4165,132
5290,3815,8737
5110,3440,477
3710,2775,188
4415,3905,1307
4215,3650,520
4940,2010,4
5285,4345,507
4180,3370,2912
4345,3415,910
4635,3145,184
4640,2615,2887
3140,1870,0
4600,4090,378
4235,3410,2927
4815,1990,1702
4125,2630,1177
3385,2825,1021
2770,2055,793
4670,3245,31
4915,2010,520
3160,1630,113
5050,2720,340
4435,4435,0
4330,4120,2814
4675,3770,17
5395,1930,0
4265,3485,1923
4270,2955,1886
4560,2685,2151
4440,3905,139
3145,2060,2661
3720,2875,6451
4735,4490,606
5435,2115,1067
5480,2540,2323
5110,3330,7555
5770,2270,1
3155,2160,181
3210,2025,377
4825,4630,91
4685,3870,230
5165,3575,464
4690,3005,3849
3800,2805,812
5540,2705,1230
3695,2320,675
3105,1770,0
4235,2855,9198
5345,4625,0
3235,2200,45
5260,3955,676
2725,1965,303
4695,2975,481
3125,2185,268
4265,4040,54
3615,2285,2651
3670,2145,177
4270,3510,3408
5265,4695,14
5025,2720,926
5255,4485,26
2775,2355,8470
2780,1825,12
5155,3365,683
5160,2835,1141
4605,2515,112
5450,2565,747
4980,1965,256
5210,4450,29
5210,4560,572
2795,2230,7900
4860,4730,217
4775,2905,591
4275,3035,1132
2830,2335,464
4280,2505,23061
5280,3605,5687
3160,2285,21
4570,2235,1247
4995,4905,50
4155,3370,4203
5000,2770,17797
4685,3980,30
4585,2860,2370
4755,4140,48
5290,4585,68
4105,2980,5499
5305,1795,1130
4120,3095,22735
5120,4195,6698
4950,2220,606
3760,3055,851
3110,1895,2
5505,2605,466
3140,1980,0
4310,4470,36
5485,2840,750
4235,3300,1738
4125,2740,11537
5020,3075,2190
2780,1940,899
3540,2270,1986
4375,4155,27
4325,3765,3661
4380,3625,645
3270,2300,46
3220,1910,1133
4670,3355,505
4620,2965,1958
4500,3080,12969
960,955,12
5055,3460,384
3610,2760,1440
4500,2750,242
5370,1870,938
4610,2205,606
5045,2695,1213
4560,5005,0
4680,3455,738
5180,3365,3801
2755,1825,0
3640,2285,4543
5790,2470,27
5420,2265,4203
4530,2275,140
4295,2905,14174
5470,2765,880
4300,4370,0
5225,4410,271
4485,2395,33
4390,4055,315
3765,3030,691
3370,2865,1697
4755,4025,3327
2675,1785,88
3450,2905,897
4360,4530,39
5450,1800,287
5450,1910,1484
3170,2060,7152
4575,3090,6486
3665,2460,2134
5445,2440,635
4985,1940,150
4620,3295,0
3675,2120,37345
4665,3005,7163
4230,3000,69517
5165,3025,2152
3135,2285,35
4830,4755,82
3280,1845,74
4845,1850,4124
3255,1845,31
4660,2815,685
5180,3475,1063
4290,3485,12934
4165,2365,760
3630,2410,1311
3690,2895,7805
5350,4425,97
4650,2940,498
4580,2885,70
4905,5215,0
5300,1720,1126
3595,2080,43
3770,2500,86
4405,2260,2874
4925,2770,34026
5595,2515,20055
4050,2390,0
3565,1775,45
4280,4490,153
4185,3120,1325
4370,3415,8171
5585,2855,843
3540,2380,360
4150,3070,2311
5155,4030,1161
4980,4945,8
3690,2570,140
4910,2585,682
4775,4890,0
5145,4370,8
5200,4235,37
5150,3840,7574
4785,4990,0
3795,2885,16903
3550,2480,796
4565,2110,632
4825,5285,30
3020,3415,505
3775,3015,1862
5080,3460,68
4275,4140,0
3770,2935,18026
3620,2310,37865
4835,1750,8381
4600,2655,41
3155,1830,2634
4280,3610,724
5350,2000,0
5765,2470,437
5215,4860,15
4330,4005,7182
3285,2035,141
5310,2590,179
5065,3010,5677
5070,2920,71
4225,3750,646
5480,2315,1790
4550,3030,6115
5440,1810,149
5120,3315,908
5115,2635,35
5250,3855,293
4510,4725,39
5375,4600,6
5170,4370,10
5245,4385,14
4430,2260,286
4600,3320,153
4150,3395,2726
4730,3750,202
3535,2030,2
5515,2820,289
5155,3475,509
5100,3230,433
4905,2020,15666
4205,3000,15151
4975,3050,31126
4980,2520,430
3720,2325,178
5550,2805,3692
5530,2720,428
4715,3410,457
3620,2860,523
3715,2750,53
4715,3850,110
4645,3795,158
3110,2010,1731
4235,2745,5145
4635,2815,1945
5000,2545,1227
4820,1675,7485
5235,3405,137
4700,3225,116
5425,1910,0
5355,1855,279
4365,4055,435
5280,4045,1097
4925,2660,907
3685,2105,150
4345,4520,33
4855,4930,9
5450,2790,11
5130,4295,61
5495,2500,748
4185,3230,15788
4370,3525,66
4100,2570,324
4505,2275,44
4135,2840,2681
2735,1740,1377
5145,4480,125
3425,2905,1723
4140,2415,18976
3550,2370,248
4085,2550,213
2785,2130,687
4315,3665,1733
4335,4195,174
4795,4100,229
5090,3010,2785
3220,2240,98
4200,2810,361
5045,2920,12
4535,2575,228
4105,2430,612
3175,2360,1296
5085,2880,1538
4195,2890,12543
3100,2350,26
4120,2880,2097
4660,3370,681
5010,2870,7569
5105,4295,106
3180,1830,0
5110,3765,94
4615,2615,31320
3230,2225,126
5135,3165,784
5140,2635,428
3225,1985,148
4510,4615,5
2795,1900,746
4130,3085,10797
3185,2020,7620
3525,2480,1356
5450,2015,1877
5015,3385,808
5015,3275,2402
5020,2745,16603
4710,4430,3
3605,2410,621
5215,3205,1220
3735,2950,1698
4430,4685,9
5325,4425,47
5745,2270,0
4740,3300,767
4740,3410,12
5165,2810,0
5370,2085,319
2835,2310,4600
4675,2775,3645
3645,2695,787
4415,4235,24
3115,1755,297
4535,2685,2042
4125,3070,9963
5180,4030,66
5105,3640,497
4930,5215,471
3120,1670,4140
5010,2760,9415
4640,4050,163
4650,3045,954
5490,2640,379
2745,2055,1129
3725,2625,211
5460,2340,0
4245,3285,2156
4230,3325,33095
4950,2770,3443
2640,1960,6779
2740,1865,3
5195,3325,231
5040,3385,302
4305,4005,147
3270,2850,7832
4135,2730,4123
4325,3215,529
4245,3950,45
5445,2765,269
4625,2940,446
5265,3815,66
4610,4190,572
4855,2280,4911
4085,2660,4377
4860,1750,657
4255,3610,129
4785,4550,9
4275,2820,10601
4520,3280,4068
4975,3160,449
5345,1870,412
4315,4220,0
5565,2655,1572
4655,3455,144
4510,2300,990
3500,2195,22
2820,1905,8
4880,2280,295
3200,1710,3
4740,4065,27
4130,2430,25036
4235,4290,3
4465,4845,171
4350,3215,2469
2760,1740,631
3345,2865,505
3890,2825,517
4105,3195,10289
4595,3290,580
4830,1890,1543
4820,4770,10
5425,1800,41
3170,1615,44755
3750,2625,286
5320,1695,608
5395,2260,3331
4270,3285,1541
5815,2650,442
5255,4045,19
4410,4600,207
4185,2565,1755
5060,3150,3078
5170,4480,8
4755,2705,1085
3525,2370,290
3745,2500,139
4600,3210,562
4955,4945,14
4710,4540,11
3665,2570,284
4270,3950,699
4265,2605,0
4795,1670,11711
5205,3655,230
3670,2695,199
5190,3025,2600
5220,3995,6
3655,2245,953
4900,4810,15
4790,4675,28
4200,2920,23874
5465,2640,175
3760,2950,1737
5525,2805,878
4880,4930,0
4105,3085,19636
4110,2555,0
2810,2135,3557
5375,2385,599
4950,2660,295
5185,3775,797
3250,2100,17
5250,4410,28
5380,1855,113
5455,2315,285
2740,1975,0
4260,4180,243
5040,3275,2699
2895,1915,1324
3690,2460,136
5035,3260,1669
5270,4385,11
5325,1995,1074
4675,3220,818
4275,2930,2434
4670,3795,7
4515,2490,8
5410,1950,365
3900,2490,3632
4800,4570,99
3700,3005,987
5015,2505,117
5210,4885,1
4970,3185,1355
3715,2200,6279
4270,4165,150
3200,3470,7780
5250,1980,0
4180,3255,13189
4585,2635,13907
5370,2200,12
5105,3415,481
4995,3360,1075
4300,2935,4318
4235,3075,13653
4515,4700,27
3605,2960,878
3475,2190,34
4375,4380,423
4375,4270,702
5185,4330,24
3650,2610,304
4780,1595,62
4260,3185,2347
3260,1645,3835
4730,3200,350
4285,3360,1294
5155,2710,106
4765,4675,284
4945,3075,18547
4575,1655,25
5140,3515,1071
4730,2090,5387
3210,2140,16
4720,4640,26
4185,2790,3724
5230,3105,638
5205,3105,1009
3900,2380,1010
5110,2885,845
4815,1875,9455
5730,1865,779
2860,2310,20544
5225,3970,55
4525,2150,1362
5415,2140,120
4970,3075,3194
5005,2845,4
4110,3110,53344
3705,2540,179
4105,2865,892
5080,5225,0
5050,2605,9
5440,2580,1135
5370,2310,6
3360,2215,58
4350,4095,204
4780,2705,1787
3890,2715,305
5245,3730,293
5195,3000,1649
4045,2475,722
4300,2825,200
4235,3185,12265
4080,2575,4903
5310,4465,21
4945,1980,1469
3855,2615,4340
5320,4125,6
5270,3730,63
5450,2240,15
4945,5175,1
3730,2540,133
5285,4020,123
4095,2760,172
5220,3445,209
3620,2085,3046
4020,3080,3957
5395,3805,323
3095,3425,620
5110,2775,768
4855,4155,73
5040,2505,29
4675,2665,329
5120,2985,199
4310,2925,4037
2895,2245,116
5535,2905,761
4175,2690,5678
5220,4435,7
4105,2755,452
4515,3480,749
5360,2210,0
4410,3605,485
3645,2260,818
3625,2610,260
5360,2650,3180
3180,3705,78
3200,2040,12032
3245,2075,0
4720,3100,30149
5145,2610,1579
4885,2690,2603
4685,3205,685
3250,1985,23
3335,2215,3799
2995,3365,11
3370,2315,2564
4890,2265,7624
4905,2895,22723
2810,1920,1411
4260,3075,1079
5395,1705,660
3145,3605,450
5245,4610,1
4390,2180,2367
2730,2095,3224
5140,3625,1447
4630,2630,8364
4440,4235,90
5200,4785,9
4615,4050,273
3285,1820,33
5155,3700,31
3910,2590,1639
5010,3090,834
2680,1810,2055
3780,3040,735
4155,3145,5603
3195,1680,7
3590,2330,1201
3210,3570,2608
3710,2890,4284
5170,4255,79
5525,1815,15
3680,2360,483
4080,2685,2142
4410,2385,2156
4640,3720,69
5160,3165,1020
3805,3110,2087
5095,4190,159
3865,2825,100
4920,2795,1041
5320,4015,572
4540,2600,1686
3295,2910,768
4985,4920,2
5210,3895,511
3730,2650,263
4690,2565,2270
5210,3455,411
3130,2210,60
4375,2280,3696
5575,2205,150
2735,2070,1566
4955,3175,993
4745,3485,707
3060,2270,42
4730,4740,20
4910,3140,1587
5115,3625,0
5175,3790,264
4680,4010,88
4605,2630,589
5410,2055,5297
4235,2970,17687
3895,2800,133
4985,3150,1449
4590,2985,8
3155,1715,11
4865,2265,284
4855,4705,8
4170,3045,2916
4655,2465,513
3020,3530,341
4575,2535,7550
5205,4535,2251
5235,4510,37
5005,1965,4639
4540,3480,13024
3105,2210,107
4605,3070,27765
4895,2240,5
5070,3685,20
5095,3860,116
4210,2795,5413
4790,1695,16254
4450,2460,3177
5640,2835,2242
3270,1745,165
4325,3990,6276
2960,3430,7
5020,4180,991
4275,3260,7117
5145,3600,208
3030,1640,45775
5295,4120,0
5485,2725,84
4945,2970,642
5210,4335,7
5145,4255,258
4460,2120,39
3155,2045,0
4505,3380,1180
3565,2330,1112
4985,3260,660
5440,2140,202
2770,2170,16452
5180,3700,91
4765,3135,1210
3580,2780,442
3235,1645,91
3680,2470,304
2880,1955,0
4200,3140,3911
4205,3325,2966
5055,3235,1771
5450,2680,4388
3865,2715,334
4415,2360,3006
4790,3135,1910
4070,2475,0
4705,2090,119
4500,2525,11783
5715,2295,49
5630,2180,309
4100,2680,4652
5285,4460,44
4130,2865,1622
5025,2605,3365
5210,3345,188
3190,1815,686
3665,2895,835
4970,2970,1572
5275,4360,2
4970,4845,10
4655,3895,84
5185,3340,488
4715,2745,178
4640,2840,142
4715,3300,21
4810,4120,312
4590,2110,5041
4145,3045,3644
4335,4305,0
4155,3255,3536
3705,2650,209
4880,1950,6
5180,4355,24
4665,2015,7381
5425,2680,790
2770,2280,3796
4245,2520,47790
5435,1785,6
2855,1955,5202
5550,1815,433
4310,3255,10806
5310,1710,5372
5080,3235,1341
2720,1890,3
4565,2985,884
3590,2880,364
3320,2915,752
5740,2295,245
5320,1920,800
5605,2180,476
3600,2435,171
4500,4515,3
4170,1950,874
5320,2575,1369
4020,2640,800
5030,2845,10010
4890,4805,3
4955,2520,1509
5185,3450,542
4715,2855,165
5615,2835,799
4640,2730,18
3060,2380,3196
4115,2415,1341
5115,3515,220
5295,3565,172
5395,2585,0
5410,2165,276
3555,2780,1841
3755,3040,2234
3180,2045,6553
4180,3145,15883
4480,4860,222
5425,2790,780
5410,2830,1411
5485,2175,568
5375,2060,617
3345,2315,27664
4755,1595,38
4525,3030,2041
2745,1840,8
4820,2230,125
4655,3020,3207
5500,2420,1724
4260,2745,993
5675,1450,53
3720,2990,569
3010,1990,0
3670,2260,287
5200,3795,53
4880,5035,9
3675,2445,522
4680,2465,927
4385,2380,25879
4130,2755,1197
4910,2695,2416
5360,1770,888
4095,2650,2460
5220,3555,754
4245,4165,0
4630,3070,881
4210,3350,422
4170,2940,2461
3525,2255,171
3655,2795,1223
4425,4335,0
4810,1690,2670
4760,4490,5993
4745,4040,731
4780,3035,184
4245,2405,886
4920,3350,3281
3105,1655,6927
5155,4355,78
4705,3750,13338
4625,2715,1740
5540,2820,716
4510,2625,1329
3565,2880,479
4335,4420,102
3160,3390,588
3515,2380,69
5080,3785,244
2945,3415,442
5095,2980,3532
5765,2355,175
3755,2375,321
4180,2815,1295
4200,2695,42983
3055,2030,348
5005,3175,860
4315,3780,4245
4970,2855,815
4325,3440,981
5145,3375,828
4310,4245,102
4690,3120,6226
4440,4785,120
4260,3960,57
4440,2360,242
4715,3735,601
3605,2185,42
5435,2665,1529
5640,2280,341
4250,2870,20971
4870,1850,1858
1085,2560,81
4110,2780,2893
4235,2420,3449
4945,4845,66
4220,3225,13444
4705,2645,79
4080,4125,312
3010,3430,665
3045,2370,25853
3295,2135,33
4300,3265,6887
5020,4735,0
2745,1950,44
2770,1950,8
3575,2430,469
1095,2545,115
4820,2780,2425
4630,4275,45
4120,2765,47
4260,2855,105031
4960,2870,521
4335,3315,86
5065,3335,1091
2870,1855,3072
4920,2245,23
4575,4525,44
3475,1970,21
4245,3510,329
2845,2410,1427
4755,2930,10732
4005,2300,327
4790,4125,12
3070,2370,11
4690,2015,3080
4780,4025,15148
4615,2840,878
5445,2325,263
5030,3285,1696
3080,2030,4708
3550,2255,609
3680,2795,372
4540,2050,8117
2760,2070,1714
5070,2695,1261
4845,3840,115
5475,2075,339
5400,2730,584
2810,2360,982
5170,3600,226
3135,3390,1019
4600,2215,759
2820,2235,1531
4755,3035,8648
4180,1935,375
4650,2715,11
4485,3615,58111
3820,3010,934
4580,3990,90
4935,2870,6057
4770,3485,591
5195,3550,116
4300,3155,1302
4765,2805,1537
4070,4025,105
4105,2315,182
3655,2470,780
5565,2880,1098
5200,4350,30
5310,1820,29
4680,3020,10099
4980,2845,598
4095,3090,40136
5425,1685,638
5185,4880,8381
5005,3285,1348
4975,5150,23
3995,2475,1205
5755,1490,1761
5145,3265,637
5335,1770,244
2790,1925,160
5090,3335,26775
4020,2750,479
5495,2825,648
4690,4110,325
2805,2335,1851
4255,2505,66234
4120,2330,14
5615,2280,1255
4225,2870,7380
4590,2660,642
4525,2700,16
3020,2195,113
4910,3250,1018
5045,3360,701
4600,2105,4291
4530,3380,575
5370,1755,23
5295,2020,304
2710,1790,40
2755,1940,0
5135,3390,1304
4855,4815,201
3515,2270,7180
3395,2815,1606
2770,1840,365
4200,3250,2519
5485,1845,626
4200,3690,1
5260,4510,27
4120,2655,4931
4665,3120,5701
4335,3425,8121
4235,3960,96
4755,5130,128
5195,3875,383
4965,2505,411
4830,2330,160
4270,2405,2373
5385,2485,2937
5260,4285,18
5030,3400,87
4350,3440,1587
6420,1605,18496
4005,2850,1213
4615,2730,2
3665,2345,6399
4270,2845,56847
4780,4575,0
2970,2425,300
5030,3175,586
4680,3895,35
3385,1835,3
3310,1825,0
3690,2345,34921
4590,4425,92
4245,2845,30512
4790,2805,457892
4630,3395,504
5335,2650,30
5540,2595,327
2870,2410,332
4820,4655,159
5415,2690,385
4365,4170,1737
4460,2445,4883
5370,1645,115
3070,3365,853
5360,4525,33
4870,3060,730
5260,3630,123
4055,2685,244
3640,2510,563
5565,2770,5349
5195,4430,25
4830,3215,7172
4260,3410,1147
5450,1685,3228
1325,2340,121
3795,2560,1437
3795,2450,32
4755,4465,15
4120,3210,3241
5350,4540,0
2705,1765,850
4855,1950,20
4675,3105,643
3995,2585,229
4765,4125,816
4030,2300,172
5310,2475,1271
4260,4065,15
5525,2145,0
5510,2405,379
5475,1860,0
4485,2620,22
5500,2745,12270
4575,2210,26
3005,1640,2168
5250,3970,77
4810,4670,20
4675,2115,1753
4245,2955,8828
4890,1935,406
3630,2185,0
4730,2645,2380
4360,3315,4943
5300,2490,0
4865,1935,90
3475,2855,4015
3705,2100,5089
5300,4365,0
4870,3170,2760
4705,3200,494
4195,3220,15528
4935,5075,21
3400,2845,984
4160,3170,8572
5135,4270,655
3720,2440,395
4955,2955,576
5245,1740,897
5170,2610,0
4920,2685,1269
3730,2100,181
2780,2155,3113
2730,1765,73
3490,2090,1
5400,1850,123
5030,3510,487
4425,2460,1758
5170,3375,899
4565,2550,14583
5575,2755,3484
5015,2945,144
5220,3005,225
4145,2940,3060
5740,2520,487
4590,2550,1259
5395,2035,6618
3045,3365,1436
3245,1745,20
5235,3630,63
4450,2895,505
1755,1055,717
5195,2995,381
5295,4445,30
5440,2690,936
3300,2830,62
4360,3425,1498
3630,2960,6676
5425,2240,602
4225,4080,0
4770,4040,41117
4805,2330,17
3655,2360,124
3615,2510,1095
4055,2575,381
5525,2920,28
4400,3945,194
4135,3170,24855
5160,4270,217
3880,2615,355
4475,2295,226
5130,3415,838
3780,2600,205
4895,2790,2577
4755,4575,0
4120,3320,1404
3375,2840,1623
4910,2260,175
5525,2255,1678
4945,3185,795
5210,4010,190
5320,2025,334
3145,1730,0
4665,4110,53
5185,3890,669
4525,3465,637
4210,3675,358
5120,2875,844
2945,2425,943
2810,2250,649
5755,2370,38
5235,4285,130
4195,1785,174
4665,2565,10502
5020,2970,1477
6395,1600,743
5485,2400,0
4295,3235,7589
5070,3360,501
4400,2285,2476
4260,2420,706
4195,3330,8158
4805,3215,1743
4615,3720,990
5055,3785,410
4160,3060,4501
2970,3415,194
3720,2550,272
4955,2845,5389
5345,1755,9582
3120,2110,186
5120,4420,94
4130,2315,984
5325,4540,510
4755,2820,2861
5585,2305,9
3705,2975,924
4845,4830,4
3325,2230,1148
4390,4170,222
2765,1925,66
5170,3265,1157
4550,2700,12
5560,2905,2613
4340,3780,502
5015,3500,472
4505,2825,5325
4780,4800,2
2870,2185,196
4960,3200,886
3935,2540,3211
4770,2720,765
5405,3795,40
3845,2740,445
4970,4180,4
4545,4225,23
5210,3570,357
5020,5065,3
5225,1865,160
4310,2600,3819
4035,2600,10652
4075,4000,393
3720,1885,146
3025,2055,46
3910,2365,1671
5295,1800,184
5670,2580,889
5385,3820,11
4465,3075,8569
4740,3075,1227
4740,3185,49494
4465,3185,693
3785,2350,37
3210,3455,1772
4585,3740,441
5245,2625,863
4090,3340,12518
5095,4745,21
4560,4675,7
4365,4605,81
4545,3115,1058
4735,1620,4533
4595,3400,533
4425,2895,3857
4700,2895,12
2000,1010,615
4655,1580,933
5115,3190,1194
5115,3080,1279
5680,2240,554
5050,4710,3832
2935,1990,1
4420,3150,1801
4420,3040,1615
5225,2975,2
3950,2990,112
4505,2935,1651
5090,5000,31
3960,2650,1104
3935,2650,2221
4770,2830,725
3845,2630,348
4970,4290,149
3020,1865,622
4600,5080,48
3955,3180,22686
4845,3170,991
4765,3360,1103
4925,3100,2272
3375,1735,3291
4200,4015,24
5440,1585,154
3915,2890,243
5750,2620,390
3015,2395,278
5140,3190,1194
4750,1960,28925
2960,2095,786
3120,3545,388
4715,3075,480
4490,3185,1411
4070,2700,560
4060,2600,320
3580,2665,1858
3085,3440,1105
4055,3130,9378
4710,4865,4
4000,2875,291
4275,2595,0
4505,3935,11598
4335,2985,8690
4040,4165,3498
4230,2670,869
3005,2295,292
5785,2555,1003
3010,1765,4767
3735,2175,32
2845,2185,1199
4935,3200,35378
3225,1660,531
4745,2720,475
4055,4240,0
4845,3060,1553
3965,3280,2892
3075,3340,576
5140,3080,838
4400,3390,921
5150,3290,2642
3895,3020,2913
3555,2555,20493
3830,2555,22
4570,3115,21311
4760,1620,6081
5290,2595,41
5670,2690,752
3510,2520,681
3510,2630,2433
4260,2190,1
5085,4645,7
4435,2445,2642
4710,2445,96
4935,4310,171
2660,1935,99749
5095,4855,11
5040,4610,238
4205,2670,21119
3280,2290,495
4570,4225,831
5465,1760,249
4725,1960,32802
3350,2230,402
3075,2230,193
4535,3015,87
4755,3260,10002
5230,3220,1190
5225,2865,765
4540,2925,601
3395,2265,156
3080,1700,128
4090,4340,216
5085,3645,197
4040,2950,85413
4880,3500,54379
3880,2840,605
5495,2390,664
5690,2340,334
3040,2395,557
3485,2405,12
5550,2255,54
4740,2075,11
4745,4700,0
4040,3055,0
3895,3130,4686
4570,3665,1649
5755,1925,85
5635,2480,3737
4790,3360,3074
3980,3180,1986
4980,4280,804
3305,1700,232
4565,1670,101
3555,2115,1083
4730,4515,35
4200,1930,497
4715,3185,766
5605,2850,876
5655,2240,10
5025,4710,0
4055,3240,14951
4995,3135,757
2865,1730,135
3590,2215,35
4345,2535,1646
5065,3885,19
5290,3155,502
4785,1895,52
4945,4180,0
5260,1965,40
4230,2560,11200
4010,2425,40
5475,2190,0
3030,2295,226
3340,1800,35
4645,2590,887
5220,2560,365
5125,3290,1776
3575,2315,504
5265,2595,98
4775,3460,211
5005,4510,38
4405,4250,12
4950,4210,100
2880,2395,319
5295,2570,1677
3570,2455,1430
5640,2165,0
4080,4240,42
4365,2735,4797
4725,2520,666
4590,1670,1576
5065,4000,154
4555,3215,224
5220,3670,27
4045,2700,1490
2820,1795,0
4550,4465,3028
3905,2790,326
4465,2970,4132
3900,2265,446
3385,2165,207
3515,2935,1403
4955,5390,0
3805,2555,1228
3805,2665,3114
4230,4430,189
4475,3285,669
4545,2900,741
3940,2890,174
3400,2065,268
5680,2790,589
5680,2680,5824
4590,3315,494
5060,4920,14
4430,3250,184
2935,2095,0
4755,3150,802
4760,2620,2430
4080,3130,17100
4420,3590,4440
4010,2975,1956
4645,2480,15
4745,2830,3009
4970,3300,1925
4560,3015,5724
6455,1650,1071
4085,2985,2046
3700,2240,68
3255,2290,72
2880,2285,451
3770,2275,8640
5055,2905,653
4165,2915,772
4050,2500,6
4975,3485,427
3555,2665,764
4535,4125,0
5090,4000,7
3310,2155,26
5645,2690,1834
5590,2770,2398
3410,2390,15
4265,2495,71017
4385,3375,1037
4605,4275,10
4900,3475,1001
4050,3265,8753
3985,3040,1468
4235,1865,42
4395,3475,551
4080,2800,363
3590,2765,657
4945,2855,16
4050,4265,0
5725,2620,0
4500,4740,0
4405,3250,1453
5080,4340,1271
3325,2780,1547
3870,2630,109
3150,3405,485
4760,5255,3
3275,2050,18
5265,1940,132
3475,2075,12
4015,2400,1616
5040,3500,772
3085,2330,37
3315,1800,1965
4755,4800,0
3960,2540,2227
4030,2850,115
3925,2550,959
4900,4475,198
4480,4085,0
4595,4400,4
5095,3745,682
3500,2420,586
3825,2315,5381
4785,3010,6300
5320,2805,2143
5050,3710,197
5455,1660,55
3035,1940,0
4575,3640,1514
4105,4305,15
4715,2970,775
4210,3900,405
4205,2120,23
4545,3665,313
4525,4025,711
3050,2055,59
4580,3765,94
4560,4125,3
4475,2520,14542
4055,2800,1171
5775,2455,269
3000,1665,96
4190,2915,18438
3745,2275,2354
4430,3140,6197
5240,3430,14
4945,3300,1477
4945,3410,707
4075,2885,2923
5050,4820,0
4080,3240,5135
5270,4060,445
4855,3500,2286
4015,3055,6373
4020,2525,973
4735,2620,442
3925,2440,2467
4955,4280,10
4515,2925,410
3055,1700,916
3370,1875,0
3840,2655,41
2990,2070,23
4570,2900,854
5700,2445,371
4095,2535,35
4565,3315,331
5410,2715,1218
5310,3810,243
4500,3630,516
5015,4610,373
4205,4430,156
5590,2880,115
5645,2580,1565
4220,2460,16228
4910,3025,5685
4400,2510,97
4985,3035,4062
4490,2970,622
4355,2635,64
3545,2455,694
5205,3220,1035
4720,4415,992
4050,3155,3542
4390,2735,1853
3580,2555,514
4795,1995,2923
5485,2290,283
4680,1580,12
5490,1760,9637
5780,1490,83
3350,1900,659
4045,4140,1872
3240,3430,639
4975,4595,578
5075,3985,68
3870,2740,84
5665,2340,132
5295,3680,235
4555,4875,129
4535,2800,3359
3160,3505,702
4045,4025,13089
3485,2955,813
3815,2765,276
4375,2945,1691
5110,4320,35
5230,2770,965
5205,2665,254
4565,3425,502
3010,2325,75
5040,4265,181
2820,2350,368
3710,2340,310
5620,2860,554
5400,2615,4365
4455,2870,3573
4730,2870,478
2830,2010,127
